Generation,win_count,Generation,win_count,Generation,win_count,Generation,win_count,Generation,win_count,Generation,win_count,Generation,win_count,Generation,win_count,Generation,win_count,Generation,win_count
0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5
5,4,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,5,5
10,0,10,0,10,0,10,0,10,0,10,5,10,5,10,5,10,5,10,4
15,0,15,0,15,5,15,0,15,5,15,4,15,5,15,5,,,,
20,0,20,0,20,4,20,4,20,5,20,4,20,4,20,5,,,,
25,5,25,0,25,5,25,0,25,5,25,4,25,5,25,4,,,,
30,3,30,4,,,30,5,30,5,30,4,30,5,30,4,,,,
35,0,35,4,,,,,,,,,35,5,35,5,,,,
40,0,40,5,,,,,,,,,40,5,,,,,,
45,0,,,,,,,,,,,,,,,,,,
50,4,,,,,,,,,,,,,,,,,,
55,5,,,,,,,,,,,,,,,,,,
60,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
For Generation size: 05,,,,,,,,,,,,,,,,,,,
Game Count,win count,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,
2,2,,,,,,,,,,,,,,,,,,
3,2,,,,,,,,,,,,,,,,,,
4,3,,,,,,,,,,,,,,,,,,
5,4,,,,,,,,,,,,,,,,,,
6,4,,,,,,,,,,,,,,,,,,
7,5,,,,,,,,,,,,,,,,,,
8,6,,,,,,,,,,,,,,,,,,
9,6,,,,,,,,,,,,,,,,,,
10,6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Generation,win_count,Generation,win_count,Generation,win_count,Generation,win_count,Generation,win_count,Generation,win_count,Generation,win_count,Generation,win_count,Generation,win_count,Generation,win_count
0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5
5,4,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,5,5
10,0,10,0,10,0,10,0,10,0,10,5,10,5,10,5,10,5,10,4
15,0,15,0,15,5,15,0,15,5,15,4,15,5,15,5,,,,
20,0,20,0,20,4,20,4,20,5,20,4,20,4,20,5,,,,
25,5,25,0,25,5,25,0,25,5,25,4,25,5,25,4,,,,
30,3,30,4,,,30,5,30,5,30,4,30,5,30,4,,,,
35,0,35,4,,,,,,,,,35,5,35,5,,,,
40,0,40,5,,,,,,,,,40,5,,,,,,
45,0,,,,,,,,,,,,,,,,,,
50,4,,,,,,,,,,,,,,,,,,
55,5,,,,,,,,,,,,,,,,,,
60,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
For Generation size: 15,,,,,,,,,,,,,,,,,,,
Game Count,win count,,,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,,,
2,0,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,
